,Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range
380324,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,60b3be65-17e7-42c4-8c09-8e1b0db84756,Cell,,,Annotation,Polygon,3064.8,11705.8,39.25,28.356,0.6134,9.3615,6.7792,0.7829,0.7807,124.125,0.1496,1.1703,0.4084,0.7619,0.7396,117.5948,0.1582,1.1947,0.1157,1.079
380344,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,81fe91bf-5ad1-4c98-bcb8-5b5fc57c10bf,Cell,,,Annotation,Polygon,3070.5,11713.2,47.5,34.4265,0.5036,12.1128,7.2188,0.8477,0.8071,158.187,0.1701,1.2697,0.3666,0.9031,0.749,146.7963,0.127,1.163,0.4168,0.7462
380398,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,035f7bde-d1f8-4580-a79a-0dad19893656,Cell,,,Annotation,Polygon,3767.9,11725.2,78.5,35.8385,0.768,12.5304,8.6927,0.7121,0.7549,236.278,0.2343,1.2752,-0.0013,1.2765,0.8572,268.3152,0.2,1.2762,0.0772,1.1989
380451,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,ff593d98-6c2e-414c-9c17-62353f68009f,Cell,,,Annotation,Polygon,3860.7,11738.7,57.0,34.9853,0.5852,10.465,8.8476,0.5979,0.7749,176.6693,0.1703,1.2623,0.3347,0.9276,0.8031,183.1129,0.1314,1.1088,0.3329,0.7759
380844,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,2fd0d91b-c80b-46e2-8e12-4eef58507d1b,Cell,,,Annotation,Polygon,3579.0,11844.2,47.0,30.8483,0.6206,11.4612,6.5,0.847,0.7952,152.6778,0.1963,1.3284,0.1785,1.1499,0.7409,142.2483,0.1492,1.0288,0.2826,0.7462
380878,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,6bb5a835-34f6-48cd-a8c9-d77d7b3908e5,Cell,,,Annotation,Polygon,3120.7,11852.3,42.25,27.898,0.6822,10.052,6.122,0.7997,0.7632,132.0263,0.1412,1.1744,0.3213,0.8531,0.7314,126.5394,0.08,0.9413,0.5054,0.4359
380997,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,858623b7-b0b7-487a-8f38-ed39b0da9f07,Cell,,,Annotation,Polygon,3493.3,11885.6,44.0,24.9075,0.8913,8.7914,6.7756,0.6159,0.7506,134.3602,0.1625,1.2636,0.2706,0.993,0.7168,128.309,0.174,1.1058,0.2001,0.9057
381603,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,e1d72931-947a-4ef9-b36a-628fc1ba8101,Cell,,,Annotation,Polygon,4042.1,11498.9,67.5,43.0922,0.4568,13.584,9.0692,0.7722,0.8025,220.6757,0.2022,1.3791,0.3005,1.0786,0.7831,215.3429,0.1554,1.1296,0.2353,0.8943
381708,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,594ad42a-b250-41f2-9ebe-62b9cf1432cb,Cell,,,Annotation,Polygon,4081.1,11531.5,50.0,29.7818,0.7084,10.5729,7.8289,0.7056,0.9377,192.2247,0.1103,1.211,0.6059,0.6051,0.7914,162.2431,0.0869,1.0011,0.5898,0.4113
382163,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,610edd23-2d76-4593-acc3-4051143b99ea,Cell,,,Annotation,Polygon,4063.5,11647.1,76.75,42.6205,0.5309,15.139,9.8831,0.7863,0.8141,250.7573,0.2402,1.3702,0.1597,1.2105,0.774,238.3902,0.1468,1.0786,0.2248,0.8538
